,cut_score,decision_change,difficulty_change,fixed_cut_score,fixed_score,item_count,raw_score,test_change_difficulty
0,3.3851830844091215,0,0,12.779295095132488,28,10,7,1
1,3.061350023339585,0,0,12.779295095132488,26,10,7,1
2,2.88646553655296,1,0,12.779295095132488,13,10,2,1
3,2.720024856467962,0,0,12.779295095132488,27,10,8,1
4,2.783113283071537,0,0,12.779295095132488,27,10,9,1
5,1.965812458726391,1,0,12.779295095132488,11,10,4,1
6,3.9420781617521965,0,0,12.779295095132488,22,10,6,1
7,2.4822470663292844,0,0,12.779295095132488,26,10,4,1
8,2.3980924270800137,1,0,12.779295095132488,14,10,2,1
9,3.104374689808291,0,0,12.779295095132488,8,10,3,1
10,3.243130237775261,0,0,12.779295095132488,19,10,5,1
11,4.210679038274316,0,0,12.779295095132488,31,10,9,1
12,2.878701494180178,1,0,12.779295095132488,8,10,5,1
13,3.4084265048266227,0,0,12.779295095132488,25,10,6,1
14,2.6709018316464705,0,0,12.779295095132488,18,10,4,1
15,3.247096026876072,0,0,12.779295095132488,31,10,8,1
16,3.9188181601970404,0,0,12.779295095132488,26,10,10,1
17,3.2133203924616076,0,1,12.779295095132488,18,10,5,0
18,3.48212079526628,1,0,12.779295095132488,18,10,2,1
19,3.2378896626295934,0,0,12.779295095132488,7,10,2,1
20,3.5075395519619414,0,0,12.779295095132488,21,10,6,1
21,3.892840404006853,1,0,12.779295095132488,16,10,3,0
22,3.585952052754933,1,0,12.779295095132488,12,10,4,1
23,2.9633937199793947,0,0,12.779295095132488,20,10,5,0
24,3.4936677199375623,0,0,12.779295095132488,24,10,7,1
25,3.130606283857333,1,0,12.779295095132488,13,10,1,0
26,3.5651248222213416,0,0,12.779295095132488,20,10,4,1
27,3.3650045180843198,0,1,12.779295095132488,32,10,9,0
28,2.5598842924300613,0,0,12.779295095132488,18,10,4,1
29,3.792678022136281,0,1,12.779295095132488,25,10,5,0
30,2.9324141328853823,0,0,12.779295095132488,18,10,3,0
31,4.36793977220688,1,0,12.779295095132488,15,10,2,0
32,3.666302658267099,0,0,12.779295095132488,19,10,5,1
33,3.609997391593687,0,0,12.779295095132488,29,10,6,1
34,2.3827796889803663,0,0,12.779295095132488,28,10,5,1
35,2.7025614236134334,0,1,12.779295095132488,31,10,8,0
36,3.645654722919541,0,0,12.779295095132488,18,10,5,1
37,3.559763353344297,0,0,12.779295095132488,26,10,7,1
38,3.848054837070366,0,0,12.779295095132488,15,10,5,1
39,2.991346131447682,0,0,12.779295095132488,24,10,6,1
40,3.5714913919596114,0,0,12.779295095132488,15,10,4,1
41,3.620902519834852,0,0,12.779295095132488,28,10,8,1
42,2.70560731675139,0,1,12.779295095132488,27,10,6,0
43,1.8109786706189688,0,0,12.779295095132488,22,10,3,1
44,2.885424923737349,0,0,12.779295095132488,22,10,5,1
45,3.3500429583424216,0,0,12.779295095132488,15,10,4,1
46,2.446524768643476,0,0,12.779295095132488,23,10,5,0
47,2.7085121305134807,1,0,12.779295095132488,10,10,4,0
48,2.359503376179195,1,1,12.779295095132488,12,10,3,0
49,3.496279943226761,1,0,12.779295095132488,17,10,3,1
50,3.1796634745523016,0,0,12.779295095132488,19,10,4,1
51,2.3415669774805963,0,0,12.779295095132488,24,10,7,1
52,2.4041509787782522,0,0,12.779295095132488,26,10,7,1
53,2.979544329460187,1,0,12.779295095132488,24,10,2,1
54,2.497589651890371,0,0,12.779295095132488,27,10,6,1
55,3.0888367096964493,1,0,12.779295095132488,14,10,3,0
56,3.8983789841675853,1,0,12.779295095132488,17,10,3,1
57,4.131760157283739,0,0,12.779295095132488,32,10,7,1
58,2.824780267444135,0,0,12.779295095132488,20,10,4,0
59,3.288389765907084,0,0,12.779295095132488,19,10,4,1
60,3.238635316350232,0,0,12.779295095132488,3,10,0,0
61,2.712097068487316,0,0,12.779295095132488,17,10,5,0
62,2.408349411956821,0,0,12.779295095132488,26,10,8,1
63,3.262028801296576,0,0,12.779295095132488,23,10,5,1
64,3.228926666954378,0,0,12.779295095132488,15,10,7,1
65,3.0226398872631406,0,1,12.779295095132488,22,10,4,0
66,2.812115086459069,0,0,12.779295095132488,29,10,7,1
67,2.9234487376424716,0,1,12.779295095132488,25,10,6,0
68,2.8599951284164717,0,0,12.779295095132488,18,10,6,1
69,3.4272043060140183,1,0,12.779295095132488,20,10,3,1
70,2.3572811450841313,0,0,12.779295095132488,12,10,1,0
71,3.5375828456898004,0,0,12.779295095132488,24,10,6,0
72,3.3353467897659153,0,0,12.779295095132488,23,10,7,1
73,4.541017642296437,0,1,12.779295095132488,18,10,6,0
74,4.079223825628153,0,0,12.779295095132488,34,10,8,1
75,2.8902026334487374,1,0,12.779295095132488,22,10,2,0
76,2.881927170129412,0,0,12.779295095132488,22,10,4,1
77,3.031659016674293,1,0,12.779295095132488,14,10,3,1
78,4.500183297344575,0,0,12.779295095132488,20,10,5,1
79,3.514875650914186,0,0,12.779295095132488,22,10,5,1
80,2.978551742445428,1,0,12.779295095132488,9,10,5,1
81,2.569607923174294,1,0,12.779295095132488,10,10,3,1
82,3.2175965410321496,1,1,12.779295095132488,12,10,4,0
83,3.698296868889112,0,0,12.779295095132488,37,10,6,0
84,3.01829290458716,0,0,12.779295095132488,35,10,9,1
85,2.574667248550808,0,0,12.779295095132488,37,10,9,1
86,2.7912882341462226,0,0,12.779295095132488,18,10,3,1
